timestamp	step	train_subparts_ap
1654103995024	0	0.0
1654104135296	1	0.0
1654104266231	2	0.0
1654104395143	3	0.0
1654104524266	4	0.0
1654104636500	5	0.0
1654104776578	6	0.0
1654104900279	7	0.0
1654105004840	8	0.0
1654105156254	9	0.0
1654105263778	10	0.0
1654105396601	11	0.0
1654105518032	12	0.0
1654105633493	13	0.0
1654105762826	14	0.0
1654105897998	15	0.0
1654106045537	16	0.0
1654106161468	17	0.0
1654106296677	18	0.0
1654106417206	19	0.0
1654106526538	20	0.0
1654106636629	21	0.0
1654106746990	22	0.0
1654106853322	23	0.0
1654106982391	24	0.0
1654107119366	25	0.0
1654107244036	26	0.0
1654107356395	27	0.0
1654107473731	28	0.0
1654107605544	29	0.0
1654107710051	30	0.0
1654107818727	31	0.0
1654107963679	32	0.0
1654108093084	33	0.0
1654108203087	34	0.0
1654108310555	35	0.0
1654108440953	36	0.0
1654108542219	37	0.0
1654108653705	38	0.0
1654108812375	39	0.0
1654108932871	40	0.0
1654109050167	41	0.0
1654109176048	42	0.0
1654109293267	43	0.0
1654109420412	44	0.0
1654109578671	45	0.0
1654109714777	46	0.0
1654109820602	47	0.0
1654109932913	48	0.0
1654110061590	49	0.0
1654110196253	50	0.0
1654110313492	51	0.0
1654110441171	52	0.0
1654110562898	53	0.0
1654110670395	54	0.0
1654110815427	55	0.0
1654110947991	56	0.0
1654111072949	57	0.0
1654111194256	58	0.0
1654111353173	59	0.0
1654111456052	60	0.0
1654111562720	61	0.0
1654111681454	62	0.0
1654111789848	63	0.0
1654111906334	64	0.0
1654112024117	65	0.0
1654112131177	66	0.0
1654112242685	67	0.0
1654112357232	68	0.0
1654112516212	69	0.0
1654112665489	70	0.0
1654112786793	71	0.0
1654112962593	72	0.0
1654113068535	73	0.0
1654113213998	74	0.0
1654113315886	75	0.0
1654113452643	76	0.0
1654113593873	77	0.0
1654113699269	78	0.0
1654113887651	79	0.0
1654114019302	80	0.0
1654114141683	81	0.0
1654114255314	82	0.0
1654114379222	83	0.0
1654114497610	84	0.0
1654114602397	85	0.0
1654114726518	86	0.0
1654114843764	87	0.0
1654114967845	88	0.0
1654115086047	89	0.0
1654115226888	90	0.0
1654115338403	91	0.0
1654115448796	92	0.0
1654115587937	93	0.0
1654115735237	94	0.0
1654115831964	95	0.0
1654115937337	96	0.0
1654116057391	97	0.0
1654116178803	98	0.0
1654116317964	99	0.0
1654116442129	100	0.0
1654116546674	101	0.0
1654116669842	102	0.0
1654116807750	103	0.0
1654116922848	104	0.0
1654117033776	105	0.0
1654117153418	106	0.0
1654117251584	107	0.0
1654117362350	108	0.0
1654117502212	109	0.0
1654117608998	110	0.0
1654117757844	111	0.0
1654117860040	112	0.0
1654117970007	113	0.0
1654118090345	114	0.0
1654118233029	115	0.0
1654118364761	116	0.0
1654118467793	117	0.0
1654118597771	118	0.0
1654118726400	119	0.0
1654118827610	120	0.0
1654118941905	121	0.0
1654119048678	122	0.0
1654119158839	123	0.0
1654119276037	124	0.0
1654119388429	125	0.0
