timestamp	step	train_subparts_ap
1654421037276	0	0.0
1654421198609	1	0.0
1654421332248	2	0.0
1654421477810	3	0.0005991611743559016
1654421629905	4	0.0035814731345233226
1654421777824	5	0.011244208132243812
1654421917978	6	0.03285284045769983
1654422063549	7	0.04817593475848929
1654422199781	8	0.0960916703055433
1654422370081	9	0.13538003098806972
1654422512899	10	0.12264149741359609
1654422668029	11	0.11260918053992114
1654422823365	12	0.1476200297732478
1654422945358	13	0.0998434224091273
1654423096476	14	0.18732870400198282
1654423243599	15	0.1815993516008455
1654423369128	16	0.15510024639139036
1654423527002	17	0.1962428354348815
1654423681154	18	0.20929108637961139
1654423855957	19	0.20410237222357222
1654423986083	20	0.24949628185033554
1654424128861	21	0.24186530989112648
1654424299309	22	0.23730737047613798
1654424449814	23	0.26607817971083203
1654424593804	24	0.23211650934320524
1654424747145	25	0.2703288667113878
1654424907048	26	0.28810313699362644
1654425057057	27	0.25099904293706216
1654425189681	28	0.2963107053920794
1654425348975	29	0.29758005172952445
1654425518269	30	0.2857815638061857
1654425653966	31	0.2619723241002936
1654425835841	32	0.2741055524382741
1654425994402	33	0.296426290034485
1654426166616	34	0.33078196177108476
1654426325022	35	0.32595807452479675
1654426481117	36	0.3156378833951164
1654426641953	37	0.346690417061286
1654426803253	38	0.3230420563512361
1654426978533	39	0.32399740877188965
1654427123446	40	0.3256744570402601
1654427277444	41	0.32133946238945627
1654427428128	42	0.3599773526845711
1654427590729	43	0.33303914008627195
1654427735267	44	0.3325075922655859
1654427883645	45	0.34164171046478387
1654428018949	46	0.35626110919713605
1654428157511	47	0.325450554653306
1654428297256	48	0.35522125095036505
1654428464655	49	0.3654861065259693
1654428638488	50	0.3715288663452878
1654428797547	51	0.3923497544299088
1654428957019	52	0.33600093822350435
1654429122402	53	0.3442089489011721
1654429256252	54	0.37404107250556473
1654429402168	55	0.36265172445320404
1654429568434	56	0.34087505833638126
1654429719679	57	0.3897882872445097
1654429908579	58	0.40483288559511754
1654430065201	59	0.36045330114990737
1654430219793	60	0.402751573636413
1654430374937	61	0.36579234377602254
1654430544406	62	0.39398910170199797
1654430685675	63	0.4130934038315255
1654430831205	64	0.38083588299176413
1654431002406	65	0.3622662325214102
1654431149765	66	0.4164537597813877
1654431320866	67	0.43386235198610934
1654431482202	68	0.38434260457363945
1654431626216	69	0.42370765991647397
1654431783250	70	0.43311139612390137
1654431920902	71	0.39066160938110195
1654432074888	72	0.4048935378143809
1654432217984	73	0.3926019247835829
1654432373929	74	0.448100805540292
1654432516503	75	0.40778283095542484
1654432672704	76	0.40788415145675794
1654432815775	77	0.43091505487117243
1654432940570	78	0.4085813044356271
1654433103788	79	0.4242205231072774
1654433249065	80	0.44014383725405126
1654433383460	81	0.4224722206742946
1654433532050	82	0.3929820090144217
1654433665582	83	0.46658875273188727
