timestamp	step	main_output_loss
1654195293099	0	0.027764713391661644
1654195372297	1	0.006896635517477989
1654195466782	2	0.004607586655765772
1654195538890	3	0.003641271498054266
1654195616723	4	0.003072736319154501
1654195690688	5	0.0023890817537903786
1654195790600	6	0.0022784292232245207
1654195874676	7	0.001907412544824183
1654195960078	8	0.0018510438967496157
1654196075118	9	0.001676121260970831
1654196157182	10	0.00145101104862988
1654196243247	11	0.0014826278202235699
1654196333852	12	0.0015019209822639823
1654196428853	13	0.0013506169198080897
1654196513854	14	0.0013226403389126062
1654196600694	15	0.0011214734986424446
1654196679935	16	0.001195499673485756
1654196775503	17	0.0011010593734681606
1654196860172	18	0.0010260249255225062
1654196970964	19	0.0010758177377283573
1654197054293	20	0.0010237520327791572
1654197128196	21	0.0010574073530733585
1654197209569	22	0.0009880982106551528
1654197314549	23	0.0011393442982807755
1654197395793	24	0.0009950647363439202
1654197474060	25	0.0008125888416543603
1654197574252	26	0.000878920080140233
1654197683409	27	0.0009931697277352214
1654197754723	28	0.0009466504561714828
1654197885596	29	0.0009005444590002298
1654197982223	30	0.0007007874082773924
1654198072759	31	0.000775312480982393
1654198155282	32	0.0007297720876522362
1654198261779	33	0.0008048994350247085
1654198367408	34	0.0007141397800296545
1654198465366	35	0.0007836388540454209
1654198548704	36	0.0007454202277585864
1654198640832	37	0.0006470265798270702
1654198740842	38	0.0007662320276722312
1654198850259	39	0.0008100366103462875
1654198938562	40	0.0007918089395388961
1654199024083	41	0.0007556791533716023
1654199108109	42	0.0007908868719823658
1654199186667	43	0.000664736027829349
1654199261905	44	0.0006507139187306166
1654199343077	45	0.000661244266666472
1654199447168	46	0.0007961206138134003
1654199515764	47	0.0005553104565478861
1654199580171	48	0.0006054069963283837
1654199715281	49	0.0005266967928037047
1654199788985	50	0.0007147794822230935
1654199894263	51	0.0006956310826353729
1654199991294	52	0.0007073688320815563
1654200081860	53	0.000649432186037302
1654200172234	54	0.0007350950036197901
1654200265498	55	0.0005726674571633339
1654200342223	56	0.0006764535792171955
1654200443042	57	0.000649527704808861
1654200529903	58	0.0006179907941259444
1654200625495	59	0.0006398283876478672
1654200729639	60	0.0006280673551373184
1654200819041	61	0.0006070673698559403
1654200894032	62	0.0005911464104428887
1654200992169	63	0.0006588294636458158
1654201068823	64	0.0005988806369714439
1654201171382	65	0.0005624588811770082
1654201261183	66	0.0006270615267567337
1654201342107	67	0.0006102434708736837
1654201416559	68	0.0006794541259296238
1654201525221	69	0.0006730144377797842
1654201625503	70	0.0006134369759820402
1654201728090	71	0.0006176792667247355
1654201808290	72	0.0006903885514475405
1654201888071	73	0.0005423988332040608
1654201970434	74	0.0005558736738748848
1654202052618	75	0.0005160433356650174
1654202136753	76	0.0006449084030464292
1654202222664	77	0.0005575905088335276
1654202332102	78	0.0005489506293088198
1654202463322	79	0.0005384577671065927
1654202569529	80	0.0005650242092087865
1654202660732	81	0.000448920123744756
1654202761023	82	0.0004865822265855968
1654202856690	83	0.0004910394782200456
1654202937063	84	0.0005352328880690038
1654203033842	85	0.0005092820501886308
1654203130215	86	0.0006613668520003557
1654203222724	87	0.000523998576682061
1654203333041	88	0.0006432054215110838
1654203435180	89	0.0005319726187735796
1654203514776	90	0.0006699516088701785
1654203610047	91	0.0005863020778633654
1654203697739	92	0.0004922987427562475
1654203797984	93	0.0005834285402670503
1654203883400	94	0.00046528008533641696
1654203992045	95	0.0006539505557157099
1654204077755	96	0.00041914358735084534
1654204176856	97	0.0005448085139505565
1654204269419	98	0.0004949552239850163
1654204385555	99	0.0006044048350304365
