timestamp	step	subparts_output_loss
1654055306211	0	0.024903366342186928
1654055500965	1	0.00332080852240324
1654055691401	2	0.003102006623521447
1654055863815	3	0.0027686497196555138
1654056054139	4	0.0025970449205487967
1654056234797	5	0.002281385473906994
1654056434068	6	0.0023142604622989893
1654056655129	7	0.002184008713811636
1654056851323	8	0.0020654608961194754
1654057044595	9	0.001802800572477281
1654057243059	10	0.001954585313796997
1654057423628	11	0.001719857333227992
1654057612811	12	0.0017162549775093794
1654057828681	13	0.00158316595479846
1654058033548	14	0.0014174346579238772
1654058235849	15	0.001537796575576067
1654058421057	16	0.0015120023163035512
1654058605318	17	0.0013485695235431194
1654058793794	18	0.0012369719333946705
1654058999253	19	0.0015091787790879607
1654059179815	20	0.0012268214486539364
1654059360242	21	0.0013000131584703922
1654059539852	22	0.0012280569644644856
1654059725536	23	0.0011750878766179085
1654059934433	24	0.0012143679196015
1654060129140	25	0.001025306642986834
1654060327423	26	0.001152710523456335
1654060513005	27	0.0011829163413494825
1654060715530	28	0.0010685089509934187
1654060904760	29	0.001116173923946917
1654061087377	30	0.0009335331851616502
1654061271309	31	0.0010994239710271358
1654061483769	32	0.0009888260392472148
1654061669604	33	0.0010454740840941668
1654061873565	34	0.0010060654021799564
1654062061550	35	0.0009361531701870263
1654062237969	36	0.0009710043086670339
1654062432163	37	0.0009753445046953857
1654062619569	38	0.0010098062921315432
1654062814370	39	0.0010118497302755713
1654063006217	40	0.000831085373647511
1654063201228	41	0.0009135369909927249
1654063408018	42	0.001018308917991817
1654063591250	43	0.000956827774643898
1654063791945	44	0.00098281295504421
1654063987038	45	0.0008659346494823694
1654064169367	46	0.0010417881421744823
1654064383085	47	0.0008787619881331921
1654064580310	48	0.0008641617023386061
1654064767526	49	0.0008758508483879268
1654064965541	50	0.0009983100462704897
1654065159334	51	0.0008269513491541147
1654065349785	52	0.0008060541586019099
1654065536701	53	0.0008471158798784018
1654065712884	54	0.0008628376526758075
1654065898107	55	0.0008039110689423978
1654066100803	56	0.0008752045105211437
1654066307740	57	0.0008521739509887993
1654066493221	58	0.0008291277335956693
1654066690483	59	0.0008147608605213463
1654066896879	60	0.0008395639597438276
1654067074472	61	0.000830075063277036
1654067275317	62	0.0007360435556620359
1654067464105	63	0.0007953254971653223
1654067670901	64	0.0008405141998082399
1654067879673	65	0.0008167696068994701
1654068070634	66	0.0007797597208991647
1654068259921	67	0.0008065717411227524
1654068451563	68	0.0008302552159875631
1654068623475	69	0.0007531547453254461
1654068802949	70	0.0007113319006748497
1654068998923	71	0.0007784113404341042
1654069185535	72	0.0007872725836932659
1654069361718	73	0.0008599776192568243
1654069555263	74	0.0008058339590206742
1654069729628	75	0.0007102161180227995
1654069909230	76	0.0007593886693939567
1654070101277	77	0.0007764858892187476
1654070300174	78	0.000780885515268892
1654070487502	79	0.0007906633545644581
1654070687377	80	0.0008352987351827323
1654070873058	81	0.0007030716515146196
1654071058774	82	0.0007554753101430833
1654071252494	83	0.0008369277347810566
1654071449162	84	0.0006719998200424016
1654071654901	85	0.0007002957863733172
1654071831127	86	0.0007539463113062084
1654072025022	87	0.0007152784382924438
1654072206079	88	0.0007147339638322592
1654072410224	89	0.000766825454775244
1654072597738	90	0.000680609024129808
1654072791333	91	0.0007290499634109437
1654073008529	92	0.0007422931375913322
1654073192920	93	0.000688043306581676
1654073385443	94	0.000736636167857796
1654073565159	95	0.0007827496738173068
1654073762931	96	0.0006763084093108773
1654073940145	97	0.0007400853792205453
1654074121960	98	0.0007315486436709762
1654074312420	99	0.000731558189727366
