timestamp	step	train_main_ap
1654221669678	0	0.003271575062210256
1654221766185	1	0.003912412276785715
1654221855539	2	0.012310434554624904
1654221935797	3	0.016249673050053096
1654222019951	4	0.023049518771289947
1654222118519	5	0.03177674230306495
1654222235478	6	0.030916263947919083
1654222326024	7	0.03596445122908359
1654222402407	8	0.059413661704571796
1654222489286	9	0.058577798976434586
1654222574042	10	0.08339494171414209
1654222664197	11	0.07779511564762746
1654222747087	12	0.09573921359358044
1654222832313	13	0.11342706898215427
1654222930976	14	0.16562205369171606
1654223001351	15	0.16981014011099976
1654223109633	16	0.163503165010054
1654223191102	17	0.13026606714158984
1654223269929	18	0.21639801318535917
1654223393679	19	0.23316218661823385
1654223484706	20	0.25157339873425
1654223577018	21	0.2331654011918895
1654223649126	22	0.28643983994027516
1654223740887	23	0.2766078654173157
1654223836397	24	0.31149987185878364
1654223926116	25	0.294523427658042
1654224006740	26	0.3222250458757753
1654224100429	27	0.33684188601382326
1654224179120	28	0.36679763016223776
1654224285599	29	0.41680108864930543
1654224381697	30	0.42936118111360183
1654224470104	31	0.4352472237099198
1654224551151	32	0.4288950207034027
1654224636808	33	0.38060529248506514
1654224742828	34	0.44456610155099063
1654224844587	35	0.479802139955782
1654224937696	36	0.4456670282325552
1654225043461	37	0.42703093325013153
1654225154460	38	0.49641492286129063
1654225263452	39	0.515443358143447
1654225369187	40	0.47065714011058035
1654225456186	41	0.4577781183706985
1654225537903	42	0.5271742790346212
1654225618224	43	0.5155668562074197
1654225715998	44	0.5381626263421524
1654225798354	45	0.5082970272455339
1654225888682	46	0.5064429717531457
1654225969988	47	0.4943334749745437
1654226048284	48	0.5109508700377837
1654226136934	49	0.5359423583174263
1654226242536	50	0.5325314029287568
1654226335040	51	0.5054086736038601
1654226434967	52	0.5921820372176232
1654226524857	53	0.5328307987517158
1654226624215	54	0.646748399379676
1654226707116	55	0.5377604390410413
1654226795782	56	0.5776387151341436
1654226886514	57	0.6067314553843742
1654226968596	58	0.5752768842812996
1654227071602	59	0.634696975982666
1654227161925	60	0.6348168639907209
1654227248604	61	0.6159509437934554
1654227329234	62	0.639854178461363
1654227425608	63	0.6390964494126065
1654227512290	64	0.5571549780489442
1654227610240	65	0.6725199435502789
1654227700068	66	0.6112770109937329
1654227779231	67	0.5412367224955371
1654227856981	68	0.6027585017364981
1654227972303	69	0.6124170298310849
1654228070202	70	0.6779917359173657
1654228167857	71	0.613822348018739
1654228268816	72	0.6866558725844747
1654228365417	73	0.6604255915095573
1654228456921	74	0.6838108865224433
1654228534820	75	0.6396411637236614
1654228612597	76	0.6627797926415959
1654228699135	77	0.6784730080035177
1654228780314	78	0.6404962569858438
1654228871028	79	0.6792942757378324
1654228954093	80	0.7133546533593526
1654229058049	81	0.6715201741428194
1654229160747	82	0.6993943480376574
1654229254309	83	0.6968060811684874
1654229346642	84	0.691287799797689
1654229429945	85	0.6786977022559841
1654229514844	86	0.6872775244110481
1654229600274	87	0.7149094094214774
1654229702671	88	0.6922384119349932
1654229815303	89	0.7382109274532846
1654229893908	90	0.6689496553997278
1654229978465	91	0.721697558165677
1654230060486	92	0.737122269700928
1654230137181	93	0.726454271679978
1654230228691	94	0.7285354935661407
1654230319442	95	0.692900826472381
1654230397249	96	0.6901246959941656
1654230503619	97	0.7412885562985487
1654230594464	98	0.7277282436766048
1654230691532	99	0.716875079000139
