timestamp	step	subparts_output_loss
1654221661511	0	0.013770990073680878
1654221760207	1	0.0033284747041761875
1654221849651	2	0.0031537774484604597
1654221930030	3	0.0026965595316141844
1654222014128	4	0.0025291391648352146
1654222112678	5	0.0022600204683840275
1654222229694	6	0.0021709627471864223
1654222320284	7	0.001983895432204008
1654222396551	8	0.001960877561941743
1654222483410	9	0.0016980033833533525
1654222568083	10	0.0017833581659942865
1654222658231	11	0.0016881743213161826
1654222741061	12	0.0015888563357293606
1654222826450	13	0.0014651273377239704
1654222925067	14	0.0014068570453673601
1654222995396	15	0.0014822068624198437
1654223103859	16	0.001381163951009512
1654223185287	17	0.0012611886486411095
1654223263929	18	0.0011303840437904
1654223387714	19	0.0013261345447972417
1654223478629	20	0.0011276820441707969
1654223571088	21	0.0011857583886012435
1654223643197	22	0.0011370257707312703
1654223734715	23	0.0011731780832633376
1654223830511	24	0.001144607551395893
1654223919965	25	0.000974839786067605
1654224000823	26	0.0010574939660727978
1654224094372	27	0.001017565606161952
1654224171923	28	0.0011035981588065624
1654224279582	29	0.0011240215972065926
1654224375545	30	0.0009203962399624288
1654224464205	31	0.001027905847877264
1654224545000	32	0.0009355691727250814
1654224630843	33	0.0010630087926983833
1654224736770	34	0.0009505583439022303
1654224838476	35	0.0009928490035235882
1654224931726	36	0.0009958905866369605
1654225037344	37	0.0008788778795860708
1654225148436	38	0.0009335056529380381
1654225257276	39	0.0010509281419217587
1654225363193	40	0.0008862942340783775
1654225450075	41	0.0009459116263315082
1654225531897	42	0.0008935724035836756
1654225612253	43	0.000906574132386595
1654225710083	44	0.0009250074508599937
1654225792420	45	0.000897657941095531
1654225882638	46	0.0009832095820456743
1654225964054	47	0.0008610074874013662
1654226042361	48	0.0008272057748399675
1654226130909	49	0.0008253987180069089
1654226236364	50	0.0009882746962830424
1654226328891	51	0.0008260699105449021
1654226429020	52	0.0008770415442995727
1654226518760	53	0.0008609007927589118
1654226618154	54	0.0008432004833593965
1654226701157	55	0.0008042388944886625
1654226789713	56	0.0008180454606190324
1654226880587	57	0.0008273381972685456
1654226962582	58	0.0007724102470092475
1654227065645	59	0.0008288768003694713
1654227155921	60	0.000777904293499887
1654227242598	61	0.0008448924636468291
1654227322900	62	0.0007480438798666
1654227419735	63	0.0007634481298737228
1654227506312	64	0.0007874350412748754
1654227604363	65	0.0007635045913048089
1654227693991	66	0.000800142646767199
1654227773257	67	0.0007906861719675362
1654227850863	68	0.0007705613970756531
1654227966280	69	0.0007877203170210123
1654228064200	70	0.000800841546151787
1654228161646	71	0.0007791209500283003
1654228262800	72	0.0007925722165964544
1654228359359	73	0.0007804576307535172
1654228450853	74	0.0008317016181536019
1654228528792	75	0.0006813763175159693
1654228606533	76	0.0007741092122159898
1654228693096	77	0.000742912117857486
1654228774325	78	0.0007611311157234013
1654228865235	79	0.0006494810222648084
1654228948110	80	0.0008036438375711441
1654229052184	81	0.0007477096514776349
1654229154729	82	0.0007938244962133467
1654229248324	83	0.0007357285358011723
1654229340591	84	0.0007322785095311701
1654229424021	85	0.0007030423148535192
1654229508745	86	0.0007592952460981905
1654229594284	87	0.0007326282793655992
1654229696631	88	0.000705848797224462
1654229809250	89	0.0006690406007692218
1654229887816	90	0.0006580004119314253
1654229972429	91	0.0007709540659561753
1654230054426	92	0.0006537262233905494
1654230131095	93	0.0007557650096714497
1654230222523	94	0.0006880497094243765
1654230313365	95	0.0007848060340620577
1654230391193	96	0.0006275197956711054
1654230497400	97	0.000710321415681392
1654230588092	98	0.0007055856403894722
1654230685420	99	0.000682968704495579
