               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11625,            0.045045,            0.027047,            0.001072,             0.10746,          0.00080329,          0.00021445,             0.10869,            0.043817,            0.027479,           0.0032609,           0.0032609,            0.070652
                   1,             0.10715,            0.048966,            0.024248,           0.0045037,             0.20235,            0.021585,           0.0047516,             0.10727,            0.041639,            0.027729,           0.0065724,           0.0065724,             0.04063
                   2,            0.099422,            0.048493,            0.020971,             0.12033,             0.11691,            0.061478,            0.018731,            0.093435,            0.037576,            0.019678,            0.009862,            0.009862,            0.010587
                   3,            0.091472,            0.045391,             0.01707,             0.11324,             0.25548,            0.065585,            0.018026,            0.091305,            0.046945,            0.019074,            0.009901,            0.009901,            0.009901
                   4,            0.084343,            0.042189,            0.014078,             0.22999,             0.35517,             0.20549,             0.06257,            0.076757,             0.05033,              0.0125,            0.009901,            0.009901,            0.009901
                   5,            0.079176,             0.04011,            0.010525,             0.36955,             0.51673,             0.34894,             0.13515,            0.069173,            0.034559,           0.0073302,            0.009868,            0.009868,            0.009868
                   6,            0.071645,            0.037916,           0.0085037,             0.55394,             0.47576,             0.45376,             0.18559,            0.065015,            0.036922,           0.0062188,            0.009835,            0.009835,            0.009835
                   7,             0.06835,            0.034033,           0.0075075,             0.56483,             0.43945,             0.46685,             0.19224,            0.065753,            0.039853,           0.0047289,            0.009802,            0.009802,            0.009802
                   8,             0.06298,            0.032582,           0.0061842,             0.65397,             0.55547,             0.58416,             0.25967,            0.059205,            0.029108,           0.0050538,            0.009769,            0.009769,            0.009769
                   9,            0.062109,            0.032401,           0.0062004,             0.65919,             0.66059,             0.63797,              0.2935,            0.051693,            0.025992,           0.0043361,            0.009736,            0.009736,            0.009736
                  10,              0.0558,            0.031737,           0.0052957,             0.77498,              0.7039,             0.73098,             0.30426,            0.047857,            0.024907,           0.0034774,            0.009703,            0.009703,            0.009703
                  11,            0.057907,            0.031117,           0.0052137,             0.81663,             0.74022,              0.7865,             0.33955,            0.045518,            0.023749,           0.0036005,             0.00967,             0.00967,             0.00967
                  12,            0.054406,            0.029222,           0.0053676,             0.86356,             0.71199,             0.78302,             0.39054,            0.041971,            0.023491,           0.0031092,            0.009637,            0.009637,            0.009637
                  13,            0.052251,            0.028361,           0.0047053,             0.90361,             0.73744,             0.82189,             0.45197,            0.039908,            0.021443,           0.0035631,            0.009604,            0.009604,            0.009604
                  14,            0.050999,            0.027954,           0.0044765,             0.89791,             0.77968,             0.83004,             0.41802,            0.040673,              0.0219,            0.003684,            0.009571,            0.009571,            0.009571
                  15,            0.050249,            0.028428,           0.0044372,             0.87248,             0.77949,             0.82831,             0.45456,            0.044175,            0.021651,            0.003416,            0.009538,            0.009538,            0.009538
                  16,            0.048384,            0.027279,           0.0038412,             0.86285,              0.7573,             0.81499,             0.43975,            0.045018,            0.021934,           0.0032189,            0.009505,            0.009505,            0.009505
                  17,            0.049483,            0.027273,           0.0044052,             0.86557,             0.74481,             0.79426,             0.38194,            0.042269,             0.02135,            0.002947,            0.009472,            0.009472,            0.009472
                  18,             0.04785,            0.027527,           0.0040167,              0.9089,             0.81063,              0.8599,             0.50469,            0.036636,             0.02049,           0.0030455,            0.009439,            0.009439,            0.009439
                  19,            0.044636,            0.025887,            0.003971,             0.92747,             0.79782,              0.8679,             0.52167,             0.03317,            0.019721,           0.0028676,            0.009406,            0.009406,            0.009406
                  20,            0.043686,            0.024369,           0.0037146,              0.9272,             0.80118,             0.86791,             0.51162,             0.03779,             0.02055,           0.0026698,            0.009373,            0.009373,            0.009373
                  21,            0.044774,            0.025641,           0.0036531,             0.93168,             0.81526,             0.88572,             0.51624,            0.034885,            0.019652,           0.0028049,             0.00934,             0.00934,             0.00934
                  22,            0.043517,            0.025237,           0.0039129,              0.9523,             0.79909,             0.86422,             0.51175,            0.034874,            0.019463,           0.0026115,            0.009307,            0.009307,            0.009307
                  23,            0.044238,            0.024968,            0.003838,              0.9294,             0.79066,             0.88227,             0.55835,             0.03075,            0.018714,           0.0022142,            0.009274,            0.009274,            0.009274
                  24,             0.04065,            0.026349,           0.0035138,             0.92642,              0.8209,             0.88549,             0.53998,            0.033241,            0.018989,           0.0025352,            0.009241,            0.009241,            0.009241
                  25,             0.04179,             0.02315,           0.0035164,             0.94152,             0.79822,             0.88525,             0.46832,            0.038671,            0.019522,           0.0024143,            0.009208,            0.009208,            0.009208
                  26,            0.041823,            0.024332,           0.0033263,             0.90871,             0.82694,             0.87228,             0.54504,            0.033328,            0.019046,           0.0022273,            0.009175,            0.009175,            0.009175
                  27,            0.042209,            0.024433,           0.0033959,             0.93139,             0.83895,             0.89752,             0.55221,            0.034026,             0.01828,           0.0020105,            0.009142,            0.009142,            0.009142
                  28,            0.041866,            0.023066,           0.0034291,             0.93249,               0.804,              0.8896,             0.58775,            0.030199,            0.019025,           0.0020941,            0.009109,            0.009109,            0.009109
                  29,            0.039225,            0.024732,           0.0033462,             0.94228,             0.82675,             0.88045,             0.58189,            0.031429,            0.018383,           0.0022437,            0.009076,            0.009076,            0.009076
                  30,            0.039376,            0.022833,           0.0033107,             0.94582,             0.82126,             0.89138,             0.58304,            0.030874,            0.018454,           0.0021672,            0.009043,            0.009043,            0.009043
                  31,            0.038371,             0.02256,           0.0031802,             0.91679,             0.81521,             0.89092,             0.55418,            0.034472,            0.018891,            0.002032,             0.00901,             0.00901,             0.00901
                  32,            0.038527,            0.022173,           0.0033629,             0.91303,             0.82869,             0.89968,               0.611,            0.028266,            0.017795,           0.0021858,            0.008977,            0.008977,            0.008977
                  33,            0.037849,             0.02214,           0.0031449,              0.9317,               0.823,             0.88573,             0.60866,            0.029911,            0.017665,            0.002497,            0.008944,            0.008944,            0.008944
                  34,            0.037452,             0.02361,           0.0031498,             0.93275,             0.82932,             0.89815,             0.60514,             0.02908,            0.018431,           0.0022468,            0.008911,            0.008911,            0.008911
                  35,             0.03812,            0.022583,           0.0030001,             0.93835,             0.84995,             0.89396,             0.60337,            0.030127,            0.018132,           0.0020902,            0.008878,            0.008878,            0.008878
                  36,             0.03782,            0.022388,           0.0029822,             0.95471,             0.82104,             0.88495,             0.57911,            0.029292,            0.017524,           0.0021353,            0.008845,            0.008845,            0.008845
                  37,            0.036773,            0.022013,           0.0029444,             0.92676,              0.8401,             0.90038,             0.60144,            0.029575,            0.017682,           0.0022521,            0.008812,            0.008812,            0.008812
                  38,            0.037867,            0.023375,           0.0032671,             0.94957,             0.81474,             0.88242,             0.60868,            0.028322,             0.01774,           0.0023023,            0.008779,            0.008779,            0.008779
                  39,            0.036767,             0.02321,           0.0027698,             0.94245,             0.84808,             0.92021,             0.64434,            0.027167,            0.017031,           0.0020937,            0.008746,            0.008746,            0.008746
                  40,            0.034353,             0.02197,           0.0030327,             0.94739,             0.84599,             0.89609,             0.62919,            0.027496,            0.016599,           0.0021211,            0.008713,            0.008713,            0.008713
                  41,            0.036368,             0.02304,             0.00308,             0.97173,             0.83987,              0.9135,             0.63412,            0.027299,            0.016376,           0.0019919,             0.00868,             0.00868,             0.00868
                  42,            0.035709,            0.021503,           0.0029361,             0.95117,             0.83954,             0.90796,             0.63888,            0.027535,            0.016529,           0.0021276,            0.008647,            0.008647,            0.008647
                  43,            0.035776,            0.022022,           0.0028491,             0.93244,              0.8613,             0.90189,             0.58158,            0.030726,            0.017577,           0.0020152,            0.008614,            0.008614,            0.008614
                  44,            0.036608,            0.021596,           0.0029325,             0.93235,             0.82682,             0.89693,             0.63741,            0.027055,            0.016659,             0.00203,            0.008581,            0.008581,            0.008581
                  45,            0.034567,            0.021062,            0.002791,             0.95787,             0.84004,             0.90385,             0.63235,            0.027643,            0.016931,           0.0021838,            0.008548,            0.008548,            0.008548
                  46,            0.034523,            0.022411,           0.0027959,             0.94992,             0.85209,             0.91424,             0.64762,            0.027962,            0.016331,            0.001966,            0.008515,            0.008515,            0.008515
                  47,            0.036606,            0.021307,           0.0030205,             0.94729,             0.81652,             0.90143,             0.64276,            0.026769,            0.016239,           0.0018703,            0.008482,            0.008482,            0.008482
                  48,            0.033078,            0.020085,            0.002809,             0.94449,             0.85175,             0.91318,             0.64634,            0.026249,            0.015959,           0.0016768,            0.008449,            0.008449,            0.008449
                  49,            0.033909,            0.021136,           0.0027015,             0.94221,             0.84365,             0.91343,             0.63776,            0.026333,            0.016479,           0.0018591,            0.008416,            0.008416,            0.008416
                  50,            0.034571,            0.021043,           0.0027724,             0.94684,             0.83832,              0.9105,             0.65022,            0.026211,            0.016695,            0.001902,            0.008383,            0.008383,            0.008383
                  51,            0.032469,            0.020145,           0.0024379,             0.96324,             0.84261,             0.91738,             0.66296,            0.025415,            0.016451,           0.0018323,             0.00835,             0.00835,             0.00835
                  52,            0.033457,            0.020664,           0.0026622,             0.98299,             0.83247,             0.90944,             0.64804,            0.026167,            0.016083,           0.0016883,            0.008317,            0.008317,            0.008317
                  53,             0.03254,            0.019814,           0.0024636,             0.93723,             0.83915,              0.9035,             0.64983,             0.02569,            0.015959,           0.0016404,            0.008284,            0.008284,            0.008284
                  54,            0.032554,            0.019741,           0.0027455,             0.94575,             0.86816,             0.91424,             0.65432,            0.025287,            0.015459,           0.0016115,            0.008251,            0.008251,            0.008251
                  55,            0.032943,            0.020008,           0.0027064,             0.94829,              0.8549,             0.91834,             0.65896,            0.025671,            0.015625,           0.0018727,            0.008218,            0.008218,            0.008218
                  56,             0.03144,            0.020188,           0.0027584,             0.96311,             0.86037,             0.92423,             0.66299,               0.025,            0.015493,           0.0016116,            0.008185,            0.008185,            0.008185
                  57,            0.031608,            0.019821,           0.0025618,             0.96602,             0.86041,             0.92669,             0.66345,            0.025466,            0.015132,           0.0015648,            0.008152,            0.008152,            0.008152
                  58,            0.031346,             0.01817,           0.0024022,             0.96103,             0.83356,             0.91936,             0.65181,            0.025165,            0.015367,           0.0015938,            0.008119,            0.008119,            0.008119
                  59,            0.033096,             0.02038,            0.002556,             0.96757,             0.84756,             0.91893,             0.65978,            0.025473,            0.015664,           0.0018294,            0.008086,            0.008086,            0.008086
                  60,            0.031721,            0.019404,           0.0026816,             0.96801,             0.86102,             0.92013,             0.68322,            0.024465,            0.015034,           0.0018453,            0.008053,            0.008053,            0.008053
                  61,            0.030816,            0.020133,           0.0024419,             0.96471,             0.86957,             0.92886,             0.69022,            0.023866,            0.014648,           0.0016368,             0.00802,             0.00802,             0.00802
                  62,            0.031608,            0.020236,           0.0026737,             0.95994,             0.86375,             0.92657,             0.67829,            0.023566,            0.014568,           0.0015908,            0.007987,            0.007987,            0.007987
                  63,            0.031724,            0.019743,           0.0024843,              0.9437,             0.87098,             0.92968,             0.67828,            0.025016,            0.015007,            0.001597,            0.007954,            0.007954,            0.007954
                  64,            0.029893,            0.019989,           0.0023391,             0.93066,             0.87012,              0.9114,             0.68937,            0.023497,            0.014857,            0.001606,            0.007921,            0.007921,            0.007921
                  65,             0.03052,            0.018784,           0.0025593,              0.9558,             0.86023,             0.91487,             0.67658,            0.025125,            0.015267,           0.0015415,            0.007888,            0.007888,            0.007888
                  66,             0.03194,            0.020198,           0.0028175,             0.96771,             0.86466,             0.91895,             0.67434,            0.023783,            0.014332,           0.0018309,            0.007855,            0.007855,            0.007855
                  67,            0.030131,            0.018222,           0.0023458,             0.96667,              0.8774,             0.92944,             0.69147,            0.023603,            0.015039,           0.0017479,            0.007822,            0.007822,            0.007822
                  68,            0.029619,            0.019181,           0.0026337,             0.96068,             0.87326,             0.92291,             0.68424,            0.023902,            0.014743,           0.0016594,            0.007789,            0.007789,            0.007789
                  69,            0.029276,            0.019585,           0.0024347,             0.96929,             0.85915,              0.9253,             0.69151,             0.02366,            0.014762,           0.0016402,            0.007756,            0.007756,            0.007756
                  70,            0.030442,            0.017988,           0.0023577,             0.96195,             0.86872,             0.92712,             0.67054,            0.024445,            0.015089,           0.0015557,            0.007723,            0.007723,            0.007723
                  71,            0.031151,            0.019994,           0.0024103,             0.95851,                0.88,             0.92471,             0.68935,            0.022752,            0.014655,           0.0014556,             0.00769,             0.00769,             0.00769
                  72,            0.029021,            0.017803,            0.002482,             0.95338,             0.88188,             0.92803,             0.70197,            0.023253,            0.014325,           0.0014011,            0.007657,            0.007657,            0.007657
                  73,            0.029192,            0.018734,           0.0024046,             0.94852,             0.87561,             0.92928,             0.70277,            0.022906,            0.014699,           0.0015486,            0.007624,            0.007624,            0.007624
                  74,            0.029483,            0.017783,           0.0024091,             0.95064,             0.88791,             0.92891,              0.6961,            0.023184,            0.015121,           0.0015514,            0.007591,            0.007591,            0.007591
                  75,            0.029623,            0.019191,           0.0024767,             0.97298,             0.88146,             0.93628,             0.70507,            0.022914,            0.014614,           0.0015755,            0.007558,            0.007558,            0.007558
                  76,            0.029473,            0.018902,           0.0024864,             0.94199,             0.87691,             0.92829,             0.71176,            0.022307,             0.01472,           0.0015352,            0.007525,            0.007525,            0.007525
                  77,            0.029213,            0.018392,           0.0023157,             0.94905,             0.86733,              0.9215,             0.69994,            0.022601,            0.015014,           0.0014757,            0.007492,            0.007492,            0.007492
                  78,            0.028792,            0.018043,           0.0023135,             0.96589,             0.85156,             0.92123,              0.7049,            0.022707,            0.014716,           0.0015905,            0.007459,            0.007459,            0.007459
